,Date,POSIX,Adj Close,year,month
0,1980-01-04,315792000,6560.16015625,1980,1
1,1980-01-07,316051200,6552.64990234375,1980,1
2,1980-01-08,316137600,6563.27978515625,1980,1
3,1980-01-09,316224000,6591.830078125,1980,1
4,1980-01-10,316310400,6594.009765625,1980,1
5,1980-01-11,316396800,6615.509765625,1980,1
6,1980-01-14,316656000,6659.5498046875,1980,1
7,1980-01-16,316828800,6653.259765625,1980,1
8,1980-01-17,316915200,6656.2998046875,1980,1
9,1980-01-18,317001600,6649.2998046875,1980,1
10,1980-01-21,317260800,6666.27001953125,1980,1
11,1980-01-22,317347200,6684.58984375,1980,1
12,1980-01-23,317433600,6694.18994140625,1980,1
13,1980-01-24,317520000,6746.93017578125,1980,1
14,1980-01-25,317606400,6767.7099609375,1980,1
15,1980-01-28,317865600,6763.60986328125,1980,1
16,1980-01-29,317952000,6770.830078125,1980,1
17,1980-01-30,318038400,6776.60009765625,1980,1
18,1980-01-31,318124800,6768.16015625,1980,1
19,1980-02-01,318211200,6777.64013671875,1980,2
20,1980-02-04,318470400,6794.2099609375,1980,2
21,1980-02-05,318556800,6765.1201171875,1980,2
22,1980-02-06,318643200,6800.330078125,1980,2
23,1980-02-07,318729600,6795.6201171875,1980,2
24,1980-02-08,318816000,6816.02978515625,1980,2
25,1980-02-12,319161600,6828.0498046875,1980,2
26,1980-02-13,319248000,6835.990234375,1980,2
27,1980-02-14,319334400,6839.85986328125,1980,2
28,1980-02-15,319420800,6827.7099609375,1980,2
29,1980-02-18,319680000,6756.60009765625,1980,2
30,1980-02-19,319766400,6763.08984375,1980,2
31,1980-02-20,319852800,6806.009765625,1980,2
32,1980-02-21,319939200,6776.509765625,1980,2
33,1980-02-22,320025600,6783.22021484375,1980,2
34,1980-02-25,320284800,6751.2900390625,1980,2
35,1980-02-26,320371200,6739.43017578125,1980,2
36,1980-02-27,320457600,6777.33984375,1980,2
37,1980-02-28,320544000,6743.990234375,1980,2
38,1980-02-29,320630400,6764.89013671875,1980,2
39,1980-03-03,320889600,6793.56005859375,1980,3
40,1980-03-04,320976000,6778.27001953125,1980,3
41,1980-03-05,321062400,6794.0400390625,1980,3
42,1980-03-06,321148800,6736.08984375,1980,3
43,1980-03-07,321235200,6625.18017578125,1980,3
44,1980-03-10,321494400,6507.16015625,1980,3
45,1980-03-11,321580800,6535.669921875,1980,3
46,1980-03-12,321667200,6609.4599609375,1980,3
47,1980-03-13,321753600,6604.39013671875,1980,3
48,1980-03-14,321840000,6593.39990234375,1980,3
49,1980-03-17,322099200,6562.66015625,1980,3
50,1980-03-18,322185600,6578.2099609375,1980,3
51,1980-03-19,322272000,6584.759765625,1980,3
52,1980-03-20,322358400,6584.759765625,1980,3
53,1980-03-21,322444800,6571.77001953125,1980,3
54,1980-03-24,322704000,6567.25,1980,3
55,1980-03-25,322790400,6531.259765625,1980,3
56,1980-03-26,322876800,6535.8798828125,1980,3
57,1980-03-27,322963200,6481.02001953125,1980,3
58,1980-03-28,323049600,6475.93017578125,1980,3
59,1980-03-31,323308800,6556.18994140625,1980,3
60,1980-04-01,323395200,6502.7998046875,1980,4
61,1980-04-02,323481600,6562.990234375,1980,4
62,1980-04-03,323568000,6614.2001953125,1980,4
63,1980-04-04,323654400,6688.64013671875,1980,4
64,1980-04-07,323913600,6737.06005859375,1980,4
65,1980-04-08,324000000,6682.5400390625,1980,4
66,1980-04-09,324086400,6708.240234375,1980,4
67,1980-04-10,324172800,6730.509765625,1980,4
68,1980-04-11,324259200,6751.9599609375,1980,4
69,1980-04-14,324518400,6808.169921875,1980,4
70,1980-04-15,324604800,6805.77978515625,1980,4
71,1980-04-16,324691200,6770.3701171875,1980,4
72,1980-04-17,324777600,6798.77978515625,1980,4
73,1980-04-18,324864000,6811.39013671875,1980,4
74,1980-04-21,325123200,6810.669921875,1980,4
75,1980-04-22,325209600,6799.009765625,1980,4
76,1980-04-23,325296000,6843.85009765625,1980,4
77,1980-04-24,325382400,6830.31005859375,1980,4
78,1980-04-25,325468800,6904.81005859375,1980,4
79,1980-04-28,325728000,6875.66015625,1980,4
80,1980-04-30,325900800,6865.56005859375,1980,4
81,1980-05-01,325987200,6865.080078125,1980,5
82,1980-05-02,326073600,6882.64990234375,1980,5
83,1980-05-06,326419200,6856.080078125,1980,5
84,1980-05-07,326505600,6834.83984375,1980,5
85,1980-05-08,326592000,6757.7001953125,1980,5
86,1980-05-09,326678400,6808.3798828125,1980,5
87,1980-05-12,326937600,6754.93994140625,1980,5
88,1980-05-13,327024000,6766.93994140625,1980,5
89,1980-05-14,327110400,6747.740234375,1980,5
90,1980-05-15,327196800,6746.509765625,1980,5
91,1980-05-16,327283200,6733.0,1980,5
92,1980-05-19,327542400,6634.330078125,1980,5
93,1980-05-20,327628800,6707.2998046875,1980,5
94,1980-05-21,327715200,6822.18017578125,1980,5
95,1980-05-22,327801600,6836.89013671875,1980,5
96,1980-05-23,327888000,6839.89013671875,1980,5
97,1980-05-26,328147200,6831.919921875,1980,5
98,1980-05-27,328233600,6826.5,1980,5
99,1980-05-28,328320000,6849.0498046875,1980,5
100,1980-05-29,328406400,6841.39990234375,1980,5
101,1980-05-30,328492800,6855.7001953125,1980,5
102,1980-06-02,328752000,6862.7001953125,1980,6
103,1980-06-03,328838400,6826.18017578125,1980,6
104,1980-06-04,328924800,6795.6298828125,1980,6
105,1980-06-05,329011200,6821.240234375,1980,6
106,1980-06-06,329097600,6814.5,1980,6
107,1980-06-09,329356800,6823.0400390625,1980,6
108,1980-06-10,329443200,6783.240234375,1980,6
109,1980-06-11,329529600,6826.009765625,1980,6
110,1980-06-12,329616000,6814.72021484375,1980,6
111,1980-06-13,329702400,6821.81005859375,1980,6
112,1980-06-16,329961600,6852.60986328125,1980,6
113,1980-06-17,330048000,6798.5,1980,6
114,1980-06-18,330134400,6824.9501953125,1980,6
115,1980-06-19,330220800,6791.8798828125,1980,6
116,1980-06-20,330307200,6813.85009765625,1980,6
117,1980-06-23,330566400,6860.89013671875,1980,6
118,1980-06-24,330652800,6806.3701171875,1980,6
119,1980-06-25,330739200,6761.25,1980,6
120,1980-06-26,330825600,6800.52978515625,1980,6
121,1980-06-27,330912000,6825.02978515625,1980,6
122,1980-06-30,331171200,6870.7001953125,1980,6
123,1980-07-01,331257600,6824.35009765625,1980,7
124,1980-07-02,331344000,6819.4501953125,1980,7
125,1980-07-03,331430400,6863.83984375,1980,7
126,1980-07-04,331516800,6846.08984375,1980,7
127,1980-07-07,331776000,6708.490234375,1980,7
128,1980-07-08,331862400,6755.5400390625,1980,7
129,1980-07-09,331948800,6789.7099609375,1980,7
130,1980-07-10,332035200,6794.240234375,1980,7
131,1980-07-11,332121600,6787.9599609375,1980,7
132,1980-07-14,332380800,6779.35986328125,1980,7
133,1980-07-15,332467200,6793.3701171875,1980,7
134,1980-07-16,332553600,6816.14990234375,1980,7
135,1980-07-17,332640000,6810.41015625,1980,7
136,1980-07-18,332726400,6819.77978515625,1980,7
137,1980-07-21,332985600,6842.490234375,1980,7
138,1980-07-22,333072000,6836.10009765625,1980,7
139,1980-07-23,333158400,6837.47021484375,1980,7
140,1980-07-24,333244800,6795.97998046875,1980,7
141,1980-07-25,333331200,6810.490234375,1980,7
142,1980-07-28,333590400,6816.7099609375,1980,7
143,1980-07-29,333676800,6811.3798828125,1980,7
144,1980-07-30,333763200,6821.10009765625,1980,7
145,1980-07-31,333849600,6819.6298828125,1980,7
146,1980-08-01,333936000,6788.2998046875,1980,8
147,1980-08-04,334195200,6753.39990234375,1980,8
148,1980-08-05,334281600,6760.85009765625,1980,8
149,1980-08-06,334368000,6739.97021484375,1980,8
150,1980-08-07,334454400,6739.89013671875,1980,8
151,1980-08-08,334540800,6771.52001953125,1980,8
152,1980-08-11,334800000,6778.5400390625,1980,8
153,1980-08-12,334886400,6801.68017578125,1980,8
154,1980-08-13,334972800,6834.31982421875,1980,8
155,1980-08-14,335059200,6824.0,1980,8
156,1980-08-15,335145600,6836.81982421875,1980,8
157,1980-08-18,335404800,6835.77978515625,1980,8
158,1980-08-19,335491200,6864.5498046875,1980,8
159,1980-08-20,335577600,6878.759765625,1980,8
160,1980-08-21,335664000,6853.68994140625,1980,8
161,1980-08-22,335750400,6886.16015625,1980,8
162,1980-08-25,336009600,6922.990234375,1980,8
163,1980-08-26,336096000,6906.0498046875,1980,8
164,1980-08-27,336182400,6930.66015625,1980,8
165,1980-08-28,336268800,6879.830078125,1980,8
166,1980-08-29,336355200,6914.080078125,1980,8
167,1980-09-01,336614400,6889.5400390625,1980,9
168,1980-09-02,336700800,6915.39990234375,1980,9
169,1980-09-03,336787200,6927.27001953125,1980,9
170,1980-09-04,336873600,6917.56005859375,1980,9
171,1980-09-05,336960000,6943.68994140625,1980,9
172,1980-09-08,337219200,6938.419921875,1980,9
173,1980-09-09,337305600,6937.97998046875,1980,9
174,1980-09-10,337392000,6956.2099609375,1980,9
175,1980-09-11,337478400,6978.89013671875,1980,9
176,1980-09-12,337564800,7000.0400390625,1980,9
177,1980-09-16,337910400,7020.16015625,1980,9
178,1980-09-17,337996800,7031.509765625,1980,9
179,1980-09-18,338083200,7035.83984375,1980,9
180,1980-09-19,338169600,7041.66015625,1980,9
181,1980-09-22,338428800,7046.509765625,1980,9
182,1980-09-24,338601600,6972.6201171875,1980,9
183,1980-09-25,338688000,6989.83984375,1980,9
184,1980-09-26,338774400,6998.52001953125,1980,9
185,1980-09-29,339033600,7060.75,1980,9
186,1980-09-30,339120000,7076.4599609375,1980,9
187,1980-10-01,339206400,7123.080078125,1980,10
188,1980-10-02,339292800,7119.39990234375,1980,10
189,1980-10-03,339379200,7142.240234375,1980,10
190,1980-10-06,339638400,7155.97998046875,1980,10
191,1980-10-07,339724800,7149.91015625,1980,10
192,1980-10-08,339811200,7115.330078125,1980,10
193,1980-10-09,339897600,7130.2998046875,1980,10
194,1980-10-13,340243200,7160.259765625,1980,10
195,1980-10-14,340329600,7157.7998046875,1980,10
196,1980-10-15,340416000,7174.27001953125,1980,10
197,1980-10-16,340502400,7151.77978515625,1980,10
198,1980-10-17,340588800,7169.259765625,1980,10
199,1980-10-20,340848000,7175.330078125,1980,10
200,1980-10-21,340934400,7165.35986328125,1980,10
201,1980-10-22,341020800,7143.85986328125,1980,10
202,1980-10-23,341107200,7130.89013671875,1980,10
203,1980-10-24,341193600,7117.06982421875,1980,10
204,1980-10-27,341452800,7089.18994140625,1980,10
205,1980-10-28,341539200,7088.43994140625,1980,10
206,1980-10-29,341625600,7113.52978515625,1980,10
207,1980-10-30,341712000,7124.77978515625,1980,10
208,1980-10-31,341798400,7150.75,1980,10
209,1980-11-04,342144000,7149.3701171875,1980,11
210,1980-11-05,342230400,7176.39013671875,1980,11
211,1980-11-06,342316800,7188.27978515625,1980,11
212,1980-11-07,342403200,7150.330078125,1980,11
